#{"t_start": 1761625064.074626, "env_id": "None"}
r,l,t
-4785.771735,1466,1.299307
-5138.088062,1492,2.157278
-1143.621041,414,2.445183
-5424.763851,1978,3.51714
-4802.905199,1111,4.239796
-2764.27548,1959,5.303088
-6802.292875,2242,6.490629
-6214.839843,2071,7.572264
-3834.56583,948,8.197573
-3778.366218,828,8.780721
-3378.196996,1196,9.491753
-4462.151131,2224,10.630113
2900.435374,2700,12.043702
-4476.071942,1407,12.84993
124.613977,340,13.159624
-196.55108,340,13.4172
-5829.310677,1901,14.424006
-5426.723309,1447,15.396748
-5860.271866,1489,16.281012
-18.498611,340,16.564436
-2456.22273,1352,17.132219
-6829.734512,1752,18.093044
-4034.7106,1219,18.843404
-3335.351416,1278,19.605765
-4421.707664,1149,20.350608
236.78598,414,20.669222
-4481.238375,1313,21.493367
-4223.464605,1234,22.255599
-3467.88183,813,22.852222
-3445.141241,808,23.436542
-2979.957326,884,24.052025
-4324.120855,1325,24.857626
-4289.197445,924,25.476825
-80.743078,340,25.759476
-4129.107434,747,26.28091
455.475567,2700,27.272653
-7328.223968,2422,28.505299
-4129.173616,1008,29.16719
-2793.86534,1268,29.926696
-4773.976914,1223,30.654106
-4664.061482,1181,31.379874
